company_A,company_B,score,Adresse_A,Zip_A,City_A,Country_A,Adresse_B,Zip_B,City_B,Country_B
LA CHOPE DAGUERRE,LA CHOPE DAGUERRE,1.0,,75014.0,,France,,75014.0,,France
TOT OU TARD,TOT OU TARD,1.0,,34000.0,,France,,34000.0,,France
La Dolce VIta,LA dolce Vita,1.0000000000000002,,80000.0,,France,,80000,,France
Bagelstein Pyramides,Bagelstein Pyramides,1.0,,75001.0,,,,75001.0,,
Les Amis de Messina (PARENT),Les Amis de Messina (PARENT),1.0,,75002.0,,,,75002.0,,
O Charolais,O Charolais,1.0000000000000002,,95310.0,,France,,95310.0,,France
Planet Sushi Doumer,Planet Sushi Doumer,1.0,,75016.0,,France,,75016.0,,France
Sogepar,Sogepar,1.0,,,,,,,,
LES PETITES ASSIETTES,Les Petites Assiettes,1.0,,75014.0,,France,,75014,,France
FLAMS SIEGE,FLAMS SIEGE,1.0000000000000002,,,,France,,,,France
Bagelstein Poitiers,Bagelstein Poitiers,1.0000000000000002,,86000.0,,,,86000.0,,
Air Liquide / AL IT,Air Liquide / AL IT,1.0000000000000002,"75 Quai D Orsay, Paris Cedex 07",77024,Paris,France,"75 Quai D Orsay, Paris Cedex 07",77024,Paris,France
AROLLA,AROLLA,1.0000000000000002,25 Rue du Louvre,75001,Paris,France,25 Rue du Louvre,75001,Paris,France
Le Phare,Le Phare,1.0000000000000002,58 Avenue du Parc de Procé,44100,Nantes,France,58 Avenue du Parc de Procé,44100,Nantes,France
Arcad Software,Arcad Software,1.0000000000000002,1 Phoenix Mill Lane,74650,Peterborough,United States,1 Phoenix Mill Lane,74650,Peterborough,United States
Mint Conseil,Mint Conseil,1.0000000000000002,43 Rue Camille Desmoulins,92130,Issy-les-Moulineaux,France,43 Rue Camille Desmoulins,92130,Issy-les-Moulineaux,France
UpSlide,UpSlide,1.0,9 Avenue de l'Opéra,10018,Paris,,9 Avenue de l'Opéra,10018,Paris,
Digital No Limit,Digital No Limit,1.0000000000000002,41 Rue Boissy d'Anglas,75008,Paris,France,41 Rue Boissy d'Anglas,75008,Paris,France
SMARTHYS,SMARTHYS,1.0,116 Rue de Verdun,92800,Puteaux,France,116 Rue de Verdun,92800,Puteaux,France
HorseCom,HorseCom,1.0000000000000002,17 Rue Claude Bloch,14000,Caen,France,17 Rue Claude Bloch,14000,Caen,France
