Company,Website_x,Telephone_x,Adresse,Zip,City,Country,combined_attributes_x,Website_y,Telephone_y,combined_attributes_y
LA CHOPE DAGUERRE,,01 43 22 76 59,,75014.0,,France,LA CHOPE DAGUERRE  75014.0  France,,01 43 22 76 59,LA CHOPE DAGUERRE  75014.0  France
TOT OU TARD,,,,34000.0,,France,TOT OU TARD  34000.0  France,,,TOT OU TARD  34000.0  France
Bagelstein Pyramides,,01 42 61 06 32,,75001.0,,,Bagelstein Pyramides  75001.0  ,,01 42 61 06 32,Bagelstein Pyramides  75001.0  
Les Amis de Messina (PARENT),,01 42 61 13 73,,75002.0,,,Les Amis de Messina (PARENT)  75002.0  ,,01 42 61 13 73,Les Amis de Messina (PARENT)  75002.0  
O Charolais,,01 34 64 02 17,,95310.0,,France,O Charolais  95310.0  France,,01 34 64 02 17,O Charolais  95310.0  France
Planet Sushi Doumer,,01 40 72 15 15,,75016.0,,France,Planet Sushi Doumer  75016.0  France,,01 40 72 15 15,Planet Sushi Doumer  75016.0  France
Sogepar,,,,,,,Sogepar    ,,,Sogepar    
FLAMS SIEGE,,0388529058,,,,France,FLAMS SIEGE    France,,0388529058,FLAMS SIEGE    France
Bagelstein Poitiers,,,,86000.0,,,Bagelstein Poitiers  86000.0  ,,,Bagelstein Poitiers  86000.0  
Air Liquide / AL IT,airliquide.com,+33 140625555,"75 Quai D Orsay, Paris Cedex 07",77024,Paris,France,"Air Liquide / AL IT 75 Quai D Orsay, Paris Cedex 07 77024 Paris France",airliquide.com,+33 140625555,"Air Liquide / AL IT 75 Quai D Orsay, Paris Cedex 07 77024 Paris France"
AROLLA,arolla.fr,,25 Rue du Louvre,75001,Paris,France,AROLLA 25 Rue du Louvre 75001 Paris France,arolla.fr,,AROLLA 25 Rue du Louvre 75001 Paris France
Le Phare,lephare.com,+33 2 51 84 11 90,58 Avenue du Parc de Procé,44100,Nantes,France,Le Phare 58 Avenue du Parc de Procé 44100 Nantes France,lephare.com,+33 2 51 84 11 90,Le Phare 58 Avenue du Parc de Procé 44100 Nantes France
Arcad Software,arcadsoftware.com,(603) 371-9074,1 Phoenix Mill Lane,74650,Peterborough,United States,Arcad Software 1 Phoenix Mill Lane 74650 Peterborough United States,arcadsoftware.com,(603) 371-9074,Arcad Software 1 Phoenix Mill Lane 74650 Peterborough United States
Mint Conseil,mint-conseil.fr,,43 Rue Camille Desmoulins,92130,Issy-les-Moulineaux,France,Mint Conseil 43 Rue Camille Desmoulins 92130 Issy-les-Moulineaux France,mint-conseil.fr,,Mint Conseil 43 Rue Camille Desmoulins 92130 Issy-les-Moulineaux France
UpSlide,upslide.net,,9 Avenue de l'Opéra,10018,Paris,,UpSlide 9 Avenue de l'Opéra 10018 Paris ,upslide.net,,UpSlide 9 Avenue de l'Opéra 10018 Paris 
